strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
237,10,4,0.0015,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
238,10,4,0.0015,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
239,10,4,0.0015,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
240,10,4,0.002,0.001,0.002,3305,-0.7343798760367646,0.4898638426626324,2137,1168,-0.643747709213264,-0.9002025990691449
241,10,4,0.002,0.001,0.003,2927,-0.7645554760865381,0.4865049538776905,1759,1168,-0.6744839356410094,-0.9002025990691449
242,10,4,0.002,0.001,0.004,2233,-0.9087264846552308,0.47917599641737574,1117,1116,-0.973003277334466,-0.8443920962836301
243,10,4,0.002,0.001,0.005,1550,-0.7923552692734342,0.4703225806451613,739,811,-0.8904691237919039,-0.702951892591376
244,10,4,0.002,0.0015,0.002,2224,-0.9597859017384726,0.4698741007194245,1309,915,-0.7405203902877574,-1.2734673820543043
245,10,4,0.002,0.0015,0.003,2224,-0.9597859017384726,0.4698741007194245,1309,915,-0.7405203902877574,-1.2734673820543043
246,10,4,0.002,0.0015,0.004,1915,-0.9665986076411458,0.46475195822454307,1000,915,-0.6858136790531059,-1.2734673820543043
247,10,4,0.002,0.0015,0.005,1416,-0.9033579500761482,0.4540960451977401,683,733,-0.6003698363370342,-1.185678388935377
248,10,4,0.002,0.002,0.002,1281,-0.49153393655267086,0.47384855581576896,659,622,-0.19755418506000624,-0.8030012295328409
249,10,4,0.002,0.002,0.003,1281,-0.49153393655267086,0.47384855581576896,659,622,-0.19755418506000624,-0.8030012295328409
250,10,4,0.002,0.002,0.004,1281,-0.49153393655267086,0.47384855581576896,659,622,-0.19755418506000624,-0.8030012295328409
251,10,4,0.002,0.002,0.005,1118,-0.5105446939838638,0.46153846153846156,539,579,-0.41855649339738293,-0.596177923890795
252,10,4,0.002,0.0025,0.002,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
253,10,4,0.002,0.0025,0.003,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
254,10,4,0.002,0.0025,0.004,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
255,10,4,0.002,0.0025,0.005,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
256,10,4,0.002,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
